,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score,user score,developer,players,critics,users
143,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82,8.1,StormfrontStudios,1 Player,32,117
144,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,91,8.3,Turn10,Up to 16 ,83,673
145,Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91,8.4,CoreDesignLtd.,1 Player,13,237
146,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62,86,7.8,VicariousVisions,2 ,36,103
147,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58,72,7.5,"Sega,SegaSportsR&D",1-4 ,55,63
148,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,86,8.5,NextLevelGames,Up to 4 ,74,602
149,Splatoon,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,81,8.7,Nintendo,Up to 8 ,88,1345
150,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53,85,8.0,NeversoftEntertainment,2 ,69,196
151,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,8.0,EATiburon,2  Online,30,83
152,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,8.2,EASports,1-2 ,29,43
153,Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,76,7.8,Treyarch,1 Player,25,65
154,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,86,8.6,BluepointGames,No Online Multiplayer,78,2657
155,God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94,8.9,SCESantaMonica,1 Player,75,1679
156,Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,77,7.9,Nintendo,1-5 ,61,529
157,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,7.6,NeversoftEntertainment,1-2 ,34,406
158,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,94,8.7,BethesdaSoftworks,No Online Multiplayer,90,1257
159,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,86,8.0,InsomniacGames,Up to 40 ,70,837
160,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,84,4.3,EACanada,Up to 22 ,41,447
161,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,89,6.6,LionheadStudios,2 ,95,2569
